months,revenue,rent,salaries,marketing,subscriptions,utilities,other,total_expenses,net_profit,archetype
2025-09-04,508281.55,69108.93,246776.28,78945.62,39390.44,24670.51,34558.17,493449.95,14831.6,Growing
2025-09-11,498078.04,67820.09,241156.2,77086.52,38386.7,24089.54,33873.16,482412.21,15665.83,Growing
2025-09-18,493724.84,66764.7,238499.54,76337.0,38226.79,23855.31,33380.85,477064.19,16660.65,Growing
2025-09-25,515316.07,69392.8,248406.36,79531.19,39834.32,24853.5,34717.54,496735.71,18580.36,Growing
2025-10-02,618868.33,83498.14,297545.92,95154.79,47449.38,29735.87,41728.04,595112.14,23756.19,Growing
2025-10-09,607402.67,81678.16,291264.61,93186.05,46591.21,29120.64,40819.33,582660.0,24742.67,Growing
2025-10-16,624112.37,83256.64,298644.1,95677.01,48063.67,29899.06,41671.36,597211.84,26900.53,Growing
2025-10-23,660887.28,88144.75,315508.8,100995.52,50512.46,31561.1,44103.04,630825.67,30061.61,Growing
2025-10-30,662370.19,88659.34,315295.52,100776.05,50140.49,31492.52,44286.08,630650.0,31720.19,Growing
2025-11-06,691226.81,92089.86,328138.49,104963.99,52445.14,32801.25,46013.62,656452.35,34774.46,Growing
2025-11-13,713981.26,94419.28,338186.65,108304.16,54325.78,33845.05,47241.63,676322.55,37658.71,Growing
2025-11-20,745219.54,98569.15,352082.93,112656.57,56281.31,35205.18,49290.0,704085.14,41134.4,Growing
2025-11-27,740333.22,97910.56,348757.81,111536.64,55658.81,34855.2,48921.3,697640.32,42692.9,Growing
2025-12-04,638137.61,83770.63,299866.36,96026.67,48174.75,30008.33,41905.15,599751.89,38385.72,Growing
2025-12-11,675950.82,88386.46,316895.97,101489.72,50872.17,31715.54,44239.79,633599.65,42351.17,Growing
2025-12-18,695190.67,91230.35,324962.77,103897.81,51733.98,32468.06,45591.13,649884.1,45306.57,Growing
2025-12-25,678022.92,88858.8,315961.85,101009.67,50344.3,31565.52,44377.87,632118.01,45904.91,Growing
2026-01-01,633777.1,82339.15,294604.22,94333.05,47313.87,29479.08,41183.65,589253.02,44524.08,Growing
2026-01-08,668784.4,86610.02,310103.56,99286.3,49725.59,31026.97,43334.51,620086.95,48697.45,Growing
2026-01-15,678522.84,88014.85,313668.94,100315.04,50034.22,31348.45,43985.72,627367.22,51155.62,Growing
2026-01-22,671608.07,86700.92,309571.7,99072.16,49583.98,30960.05,43343.89,619232.7,52375.37,Growing
2026-01-29,698771.98,89597.74,321294.01,102915.19,51644.04,32161.0,44844.66,642456.64,56315.34,Growing
2026-02-05,731678.85,93952.23,335463.21,107316.16,53545.72,33536.3,46980.09,670793.71,60885.14,Growing
2026-02-12,720918.64,92718.85,329435.2,105284.57,52388.95,32901.43,46300.15,659029.15,61889.49,Growing
2026-02-19,709512.51,90559.85,323286.08,103465.49,51809.91,32332.97,45268.35,646722.65,62789.86,Growing
2026-02-26,742505.96,94119.18,337467.13,108095.98,54251.47,33779.99,47105.36,674819.11,67686.85,Growing
2026-03-05,677158.34,85936.23,306843.28,98170.05,49019.21,30678.14,42969.34,613616.25,63542.09,Growing
2026-03-12,668046.97,84664.58,301733.44,96510.77,48186.28,30159.62,42308.26,603562.95,64484.02,Growing
2026-03-19,675692.74,84989.32,304336.58,97459.64,48882.18,30456.14,42520.39,608644.25,67048.49,Growing
2026-03-26,709510.78,89054.39,318670.2,102004.44,51020.26,31876.39,44553.72,637179.4,72331.38,Growing
2026-04-02,809036.25,101834.86,362139.71,115748.15,57589.87,36171.3,50866.84,724350.73,84685.52,Growing
2026-04-09,783397.68,98146.74,349509.61,111787.45,55838.85,34933.58,49031.59,699247.82,84149.86,Growing
2026-04-16,800522.67,99354.9,356183.27,114100.87,57312.56,35656.52,49720.03,712328.15,88194.52,Growing
2026-04-23,840788.43,104206.32,373004.38,119409.5,59758.31,37315.47,52137.16,745831.14,94957.29,Growing
2026-04-30,838469.2,104059.04,370695.23,118541.36,59105.05,37044.18,51998.37,741443.23,97025.97,Growing
2026-05-07,826633.83,101980.91,364298.25,116596.59,58367.97,36436.44,50989.37,728669.53,97964.3,Growing
2026-05-14,856491.03,105069.72,376370.18,120518.08,60390.55,37661.9,52576.25,752586.68,103904.35,Growing
2026-05-21,876219.2,107684.22,383749.25,122711.1,61143.33,38347.22,53818.9,767454.02,108765.18,Growing
2026-05-28,848662.94,104160.2,370341.74,118392.9,59007.15,36997.78,52018.5,740918.27,107744.67,Growing
2026-06-04,842910.6,102464.48,366711.88,117436.02,58939.68,36698.75,51251.68,733502.49,109408.11,Growing
2026-06-11,885643.29,107111.16,384186.56,123059.52,61734.15,38456.1,53615.62,768163.11,117480.18,Growing
2026-06-18,901685.18,109287.34,389779.05,124666.56,62173.59,38958.3,54630.56,779495.4,122189.78,Growing
2026-06-25,879011.67,106241.32,378618.0,121103.5,60470.35,37844.85,53089.6,757367.62,121644.05,Growing
2026-07-02,836135.1,100287.02,359031.16,114963.67,57631.46,35926.15,50172.11,718011.57,118123.53,Growing
2026-07-09,866609.6,103821.69,370895.37,118674.35,59273.1,37085.73,51919.82,741670.06,124939.54,Growing
2026-07-16,853576.06,102360.9,363940.71,116331.72,57922.4,36353.66,51123.63,728033.02,125543.04,Growing
2026-07-23,831121.04,98918.32,353141.42,113023.39,56604.61,35319.81,49446.69,706454.24,124666.8,Growing
2026-07-30,862279.98,101764.83,365281.26,117038.98,58807.51,36574.68,50945.26,730412.52,131867.46,Growing
2026-08-06,897967.22,106050.3,379088.01,121308.46,60601.47,37908.89,53043.82,758000.95,139966.27,Growing
2026-08-13,882387.47,104258.17,371069.81,118638.46,59118.55,37074.52,52085.21,742244.72,140142.75,Growing
2026-08-20,872398.91,102323.01,365595.14,117017.81,58590.84,36568.07,51162.96,731257.83,141141.08,Growing
2026-08-27,905346.52,105665.34,378156.52,121061.28,60605.69,37831.65,52862.59,756183.07,149163.45,Growing
2026-09-03,974023.05,113818.73,405299.2,129588.01,64564.77,40496.25,56871.21,810638.17,163384.88,Growing
2026-09-10,945963.9,110074.38,392112.25,125420.69,62656.39,39193.97,54995.52,784453.2,161510.7,Growing
2026-09-17,961548.73,110775.73,397268.53,127274.71,63955.73,39773.35,55439.95,794488.0,167060.73,Growing
2026-09-24,1016401.12,116798.7,418506.03,134004.64,67106.41,41876.45,58453.65,836745.88,179655.24,Growing
2026-10-01,1206037.58,138921.84,494597.61,158125.56,78742.29,49414.24,69412.98,989214.52,216823.06,Growing
2026-10-08,1176904.03,134900.32,480770.15,153786.5,76821.83,48058.28,67409.39,961746.47,215157.56,Growing
2026-10-15,1206658.14,137213.22,491232.56,157293.97,78846.05,49154.37,68646.32,982386.49,224271.65,Growing
2026-10-22,1250372.82,142070.22,507125.37,162236.98,80992.99,50699.06,71031.55,1014156.17,236216.65,Growing
2026-10-29,1232143.11,139838.33,497681.0,159132.96,79357.23,49729.05,69855.2,995593.77,236549.34,Growing
2026-11-05,1310569.42,147386.53,527416.37,168891.38,84741.23,52778.56,73719.76,1054933.83,255635.59,Growing
2026-11-12,1384548.57,154734.38,555275.72,177881.09,89269.11,55587.84,77463.96,1110212.1,274336.47,Growing
2026-11-19,1430492.86,160211.58,571392.5,182740.44,91086.27,57106.39,80089.46,1142626.64,287866.22,Growing
2026-11-26,1397680.96,156292.78,555905.18,177719.47,88560.55,55537.33,78064.21,1112079.52,285601.44,Growing
2026-12-03,1201788.19,133182.86,476200.82,152450.16,76394.76,47640.68,66604.53,952473.81,249314.38,Growing
2026-12-10,1258664.64,138882.35,496889.71,159060.32,79606.28,49706.35,69475.55,993620.56,265044.08,Growing
2026-12-17,1270199.82,140199.53,499327.69,159668.72,79602.48,49896.48,70053.33,998748.23,271451.59,Growing
2026-12-24,1249775.88,137072.7,489284.74,156581.53,78373.11,48931.73,68519.1,978762.91,271012.97,Growing
2026-12-31,1297415.59,141030.72,506092.08,162144.61,81448.5,50670.19,70598.06,1011984.16,285431.43,Growing
2027-01-07,1349688.4,128535.72,493865.76,196291.33,88902.51,46121.9,67943.56,1021660.79,328027.61,Growing
2027-01-14,1407625.47,129239.76,499434.09,199340.69,89162.7,45667.5,67086.67,1029931.42,377694.05,Growing
2027-01-21,1450561.28,128304.01,500266.54,201361.31,89445.49,45501.23,67066.43,1031945.01,418616.27,Growing
