months,revenue,rent,salaries,marketing,subscriptions,utilities,other,total_expenses,net_profit,archetype
2002-03-31,8989.91,23.71,1480771.94,164724.92,3964.91,0.09,24.86,1649510.42,-1640520.51,source
2002-06-30,13495.06,24.39,2370235.73,189062.78,6620.7,0.12,18.26,2565961.99,-2552466.94,source
2002-09-30,21469.37,22.97,3425034.01,162529.13,4183.27,0.18,11.58,3591781.14,-3570311.77,source
2002-12-31,29495.42,26.38,3442199.72,104154.73,3141.86,0.18,9.39,3549532.25,-3520036.82,source
2003-03-31,49133.13,23.21,3960336.19,100402.96,4766.0,0.15,8.78,4065537.28,-4016404.15,source
2003-06-30,63736.06,16.45,3358331.88,91574.4,5469.83,0.12,13.05,3455405.74,-3391669.68,source
2003-09-30,74348.79,13.94,3223834.15,188846.48,3745.13,0.09,18.07,3416457.86,-3342109.07,source
2003-12-31,107725.64,14.94,2038833.41,250375.48,4273.21,0.05,26.86,2293523.93,-2185798.3,source
2004-03-31,133664.86,21.61,2733079.44,427057.13,6590.98,0.03,41.56,3166790.76,-3033125.9,source
2004-06-30,124263.86,23.06,3348876.89,532616.36,6952.57,0.03,55.52,3888524.42,-3764260.56,source
2004-09-30,87348.91,25.9,4933739.19,765282.91,5212.45,0.03,70.82,5704331.3,-5616982.39,source
2004-12-31,74697.81,16.44,6172603.43,663408.53,4748.35,0.03,88.99,6840865.77,-6766167.96,source
2005-03-31,68878.25,10.33,7650538.14,552023.84,5671.96,0.03,73.02,8208317.33,-8139439.08,source
2005-06-30,74555.21,10.08,7017968.79,754207.86,5770.25,0.03,89.3,7778046.32,-7703491.11,source
2005-09-30,69899.29,8.47,7437262.81,844477.87,5294.97,0.02,116.96,8287161.09,-8217261.8,source
2005-12-31,67975.5,7.3,7905357.16,421192.48,3894.43,0.02,132.74,8330584.11,-8262608.61,source
2006-03-31,62682.71,11.79,9904189.01,629839.54,2328.0,0.02,98.78,10536467.14,-10473784.43,source
2006-06-30,61356.98,13.19,10393255.96,797214.28,1883.55,0.03,109.04,11192476.04,-11131119.07,source
2006-09-30,81255.03,11.25,7910448.6,616047.36,1071.32,0.02,72.96,8527651.52,-8446396.49,source
2006-12-31,106624.99,8.19,16379834.62,766230.36,1018.35,0.03,59.45,17147151.01,-17040526.02,source
2007-03-31,98382.35,6.28,23237376.94,858255.4,961.06,0.03,48.57,24096648.28,-23998265.93,source
2007-06-30,81405.12,3.93,37393617.01,2252699.26,812.85,0.04,68.28,39647201.36,-39565796.24,source
2007-09-30,109884.06,4.41,61200478.41,2142927.94,639.87,0.04,45.09,63344095.75,-63234211.69,source
2007-12-31,167337.12,6.47,60193939.53,1834460.64,560.68,0.05,35.91,62029003.27,-61861666.16,source
2008-03-31,152265.99,6.18,69171032.22,1411656.91,667.2,0.04,61.43,70583423.97,-70431157.98,source
2008-06-30,122381.49,6.61,106240520.95,1747037.14,1213.05,0.06,75.33,107988853.15,-107866471.66,source
2008-09-30,113630.31,4.53,160142251.12,3820306.23,2255.6,0.08,134.31,163964951.88,-163851321.57,source
2008-12-31,166604.73,3.5,185902424.49,3747493.83,2326.91,0.06,156.64,189652405.43,-189485800.71,source
2009-03-31,167559.95,2.51,220854048.53,5276243.93,3480.09,0.06,153.34,226133928.47,-225966368.52,source
2009-06-30,170208.73,2.42,142400995.27,8004192.64,2048.07,0.05,110.41,150407348.86,-150237140.13,source
2009-09-30,100559.76,1.18,65481063.64,6614370.94,1652.6,0.04,71.33,72097159.73,-71996599.97,source
2009-12-31,77042.85,1.37,38828543.01,3445516.26,802.77,0.03,68.35,42274931.79,-42197888.94,source
2010-03-31,81131.43,1.3,68079436.45,2818595.08,1097.83,0.04,62.79,70899193.5,-70818062.07,source
2010-06-30,102142.33,1.23,90508824.62,1972056.96,1243.59,0.03,53.39,92482179.83,-92380037.5,source
2010-09-30,110770.14,1.08,74485034.88,1078489.72,670.58,0.04,43.06,75564239.35,-75453469.2,source
2010-12-31,127644.39,0.8,79802409.0,1050715.53,618.29,0.04,36.11,80853779.77,-80726135.38,source
2011-03-31,178239.53,0.61,56980249.94,1795625.32,595.26,0.07,41.88,58776513.08,-58598273.54,source
2011-06-30,197285.71,0.96,72679833.37,2992804.06,487.04,0.12,36.42,75673161.98,-75475876.26,source
2011-09-30,146808.54,0.77,55698576.03,5800491.9,564.42,0.09,31.84,61499665.05,-61352856.51,source
2011-12-31,125328.83,0.49,51305751.35,12609897.04,614.9,0.07,37.34,63916301.2,-63790972.36,source
2012-03-31,139919.73,0.7,55223488.52,22652128.52,503.78,0.04,49.43,77876170.98,-77736251.26,source
2012-06-30,107750.77,0.6,68940532.77,39891255.53,500.12,0.05,46.1,108832335.17,-108724584.39,source
2012-09-30,98561.67,0.51,54647864.38,61211642.91,446.36,0.04,46.96,115860001.16,-115761439.49,source
2012-12-31,115607.78,0.96,82623832.41,47717940.63,492.66,0.03,36.56,130342303.25,-130226695.46,source
2013-03-31,147760.82,1.62,111081754.27,39947188.94,520.04,0.02,31.57,151029496.46,-150881735.64,source
2013-06-30,183849.86,1.95,163648855.06,63867566.42,188.03,0.04,30.2,227516641.7,-227332791.84,source
2013-09-30,172797.56,2.87,161943141.55,112213103.21,237.17,0.04,29.32,274156514.16,-273983716.6,source
2013-12-31,167097.56,3.19,264528709.59,189187692.28,570.33,0.07,16.03,453716991.5,-453549893.94,source
2014-03-31,268158.2,2.59,230917893.87,267135959.81,453.33,0.06,16.88,498054326.54,-497786168.34,source
2014-06-30,335698.03,2.28,176802308.46,212520828.93,441.64,0.05,28.19,389323609.56,-388987911.53,source
2014-09-30,579640.05,2.28,105212372.44,244804290.86,661.41,0.08,28.58,350017355.65,-349437715.6,source
2014-12-31,550840.45,2.91,104595978.29,284865863.39,965.38,0.06,38.64,389462848.67,-388912008.23,source
2015-03-31,694263.82,3.58,105062349.12,567741976.71,1760.09,0.04,64.81,672806154.33,-672111890.51,source
2015-06-30,660454.9,3.16,122029436.66,1093784345.22,2517.34,0.04,86.38,1215816388.79,-1215155933.89,source
2015-09-30,748322.1,2.74,86660036.32,2762651538.17,2958.95,0.03,148.43,2849314684.64,-2848566362.55,source
2015-12-31,1051702.87,3.44,122493150.57,9692926281.72,3136.76,0.02,164.69,9815422737.2,-9814371034.33,source
2016-03-31,1238701.62,2.7,90518621.48,12772463445.38,2548.3,0.03,144.87,12862984762.75,-12861746061.13,source
2016-06-30,857548.83,3.58,131421706.34,30858649585.05,1927.09,0.02,90.2,30990073312.27,-30989215763.44,source
2016-09-30,769685.74,3.51,133349277.97,57088354362.45,1485.17,0.02,53.21,57221705182.32,-57220935496.58,source
2016-12-31,572921.47,2.31,144132424.43,74552195636.97,1207.51,0.04,41.43,74696329312.69,-74695756391.22,source
2017-03-31,691468.48,1.42,121972361.83,65827023996.73,1764.75,0.04,46.48,65948998171.26,-65948306702.78,source
2017-06-30,550480.32,0.75,123187615.34,106789739848.13,1107.23,0.05,48.02,106912928619.53,-106912378139.21,source
2017-09-30,444200.53,0.93,164832736.4,75155618503.35,637.15,0.05,38.8,75320451916.68,-75320007716.15,source
2017-12-31,399855.06,1.04,210901794.72,82204479207.86,556.3,0.05,26.85,82415381586.83,-82414981731.76,source
2018-03-31,391660.15,1.18,212704717.49,147034342431.58,516.9,0.06,28.69,147247047695.9,-147246656035.75,source
2018-06-30,375573.21,0.73,206565733.92,130135906867.27,548.64,0.07,19.02,130342473169.66,-130342097596.45,source
2018-09-30,295386.47,1.63,221083974.62,200246441136.18,633.76,0.07,16.01,200467525762.27,-200467230375.79,source
2018-12-31,289148.16,1.88,367558038.09,343313719830.49,485.44,0.14,13.77,343681278369.81,-343680989221.64,source
2019-03-31,230154.95,2.0,607942307.88,358780620330.15,386.58,0.26,16.09,359388563042.96,-359388332888.02,source
2019-06-30,177811.31,2.1,876382716.92,255158470107.7,422.1,0.44,19.75,256034853269.01,-256034675457.7,source
2019-09-30,140803.07,1.61,780845690.83,281649923354.03,566.84,0.53,21.05,282430769634.89,-282430628831.82,source
2019-12-31,126931.22,1.06,707776974.21,253213495661.95,629.42,0.58,21.75,253921273288.98,-253921146357.76,source
2020-03-31,164923.55,1.14,1408799500.53,414234313410.87,511.44,0.77,19.03,415643113443.77,-415642948520.22,source
2020-06-30,172161.0,1.66,1415036125.26,450291693035.98,420.44,0.51,17.98,451706729601.82,-451706557440.82,source
2020-09-30,240662.03,1.51,1729997372.09,330622369675.95,284.62,0.84,27.06,332352367362.07,-332352126700.03,source
2020-12-31,295437.25,0.73,1212368867.58,214107068198.94,183.67,0.83,29.31,215319437281.06,-215319141843.81,source
2021-03-31,268898.17,0.73,530254015.77,222703987265.86,248.95,0.47,27.67,223234241559.45,-223233972661.27,source
2021-06-30,250839.42,0.62,831831229.2,350277280349.56,243.32,0.45,26.97,351109111850.13,-351108861010.71,source
2021-09-30,347869.3,0.28,1222337332.79,250677869941.01,262.86,0.37,23.83,251900207561.14,-251899859691.84,source
2021-12-31,351570.66,0.18,1824470048.33,155911220780.14,342.52,0.47,23.91,157735691195.55,-157735339624.89,source
2022-03-31,377831.51,0.13,1861087515.46,381225315666.77,751.79,0.56,21.75,383086403956.46,-383086026124.95,source
2022-06-30,588414.79,0.16,3463151912.51,502454630732.86,384.06,0.48,26.97,505917783057.05,-505917194642.26,source
2022-09-30,685531.54,0.28,5430398192.2,409458328874.6,293.27,0.46,24.02,414888727384.82,-414888041853.28,source
2022-12-31,587874.04,0.21,4875683289.65,365693577597.19,207.03,0.71,17.8,370569261112.59,-370568673238.55,source
2023-03-31,572468.78,0.13,7012107314.84,265025217224.66,298.28,0.61,14.3,272037324852.83,-272036752384.04,source
2023-06-30,549423.96,0.15,13489235028.09,340695395047.95,273.95,0.43,17.01,354184630367.58,-354184080943.62,source
2023-09-30,674679.77,0.12,10853670250.78,269622699017.9,435.35,0.25,21.56,280476369725.95,-280475695046.18,source
2023-12-31,815173.4,0.11,10991210906.86,231605772467.4,506.69,0.15,24.29,242596983905.5,-242596168732.1,source
2024-03-31,855594.68,0.15,9474011935.52,141704577856.38,428.15,0.15,31.48,151178590251.82,-151177734657.14,source
2024-06-30,802014.2,0.2,11431300672.51,78740583953.88,314.75,0.15,30.78,90171884972.27,-90171082958.07,source
2024-09-30,873972.54,0.16,18223782775.28,60543251455.33,137.31,0.29,36.74,78767034405.12,-78766160432.58,source
2024-12-31,1132060.73,0.12,18679494601.18,71233334180.03,134.97,0.32,57.75,89912828974.37,-89911696913.65,source
2025-03-31,1300742.74,0.13,19787745788.45,95476674463.86,117.63,0.28,37.54,115264420407.89,-115263119665.15,source
2025-06-30,1932941.99,0.1,22865417940.42,157867213475.24,141.11,0.29,46.11,180732631603.28,-180730698661.29,source
2025-09-30,4861689.7,0.11,28554989153.71,161916075697.72,202.67,0.17,46.66,190471065101.05,-190466203411.35,source
2025-12-31,7970455.81,0.15,25627986434.02,133497747426.12,218.05,0.17,32.17,159125734110.68,-159117763654.88,source
2026-03-31,12778409.17,0.15,29012896702.67,115112279488.87,189.41,0.14,19.93,144125176401.18,-144112397992.01,source
2026-06-30,16333779.42,0.1,28447777555.29,237042613293.03,392.27,0.17,37.13,265490391277.99,-265474057498.56,source
2026-09-30,12431421.12,0.12,33838175916.86,165332897049.08,332.04,0.26,38.91,199171073337.26,-199158641916.15,source
2026-12-31,15484469.66,0.13,55892979807.28,159435857694.2,458.45,0.31,51.27,215328838011.64,-215313353541.98,source
2027-01-28,16201013.97,16.67,7048548877.26,213065895608.77,4774.04,2.35,98.77,220114449377.86,-220098248363.89,Growing
2027-02-28,17078381.95,16.8,7141000654.58,216769847207.65,4796.73,2.33,97.71,223910852775.8,-223893774393.85,Growing
2027-03-28,17370944.68,16.46,7059848255.12,216118505308.94,4749.34,2.29,96.41,223178358428.56,-223160987483.89,Growing
2027-04-28,17832598.75,16.23,7059480837.85,218780517771.73,4788.89,2.3,96.96,225840003513.97,-225822170915.22,Growing
2027-05-28,18963908.77,16.45,7226608563.4,225559492205.83,4890.89,2.32,97.59,232786105776.48,-232767141867.71,Growing
2027-06-28,19898603.08,16.51,7298872254.05,228738710451.38,4906.37,2.3,96.58,236037587727.2,-236017689124.12,Growing
